Title,Description,Director,Genres,Cast,Origin_Country,Release_Date,Rating,Duration,Imdb_Rating,Type
Aelay,"A son stoically returns to his village upon his father’s death, recalling their chilly dynamic before a bizarre event disrupts his visit.",Halitha Shameem,"Comedies, Dramas, Independent Movies","P. Samuthirakani, Manikandan, Madhumathi Padmanathan, Akalyadevi B., S I Neelambari",India,2021.0,TV-14,151 min,7.0/10,Movie
Aerials,Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.,S.A. Zaidi,"International Movies, Sci-Fi & Fantasy","Saga Alyasery, Ana Druzhynina, Mansour Al Felei, Mohammad Abu Diak, Pascale Matar, Luke Coutts, Abeer Mohammed",United Arab Emirates,2016.0,TV-14,90 min,1.3/10,Movie
After,"Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",Jenny Gage,"Dramas, Romantic Movies","Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",United States,2019.0,PG-13,106 min,5.5/10,Movie
Agneepath,"A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs.",Mukul Anand,"Dramas, International Movies","Amitabh Bachchan, Mithun Chakraborty, Danny Denzongpa, Madhavi, Neelam, Alok Nath, Rohini Hattangadi, Tinnu Anand, Vikram Gokhale, Archana Puran Singh",India,1990.0,TV-14,174 min,7.8/10,Movie
Agyaat,A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.,Ram Gopal Varma,"Horror Movies, International Movies","Adesh Bhardwaj, Rasika Dugal, Joy Fernandes, Ravi Kale, Ishtiyak Khan, Priyanka Kothari, Kali Prasad Mukherjee, Nitin Reddy, Gautam Rode, Howard Rosemeyer",India,2009.0,TV-14,97 min,2.8/10,Movie
Ahaan,"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbor, a young man with Down Syndrome.",Nikhil Pherwani,"Dramas, Independent Movies, International Movies","Arif Zakaria, Abuli Mamaji, Niharika Singh, Rajit Kapoor, Plabita Borthakur, Shilpa Mehta, Kaizaad Kotwal, Sonali Sachdev, Haresh Raut",India,2021.0,TV-MA,81 min,7.3/10,Movie
Aiyaary,"When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs.",Neeraj Pandey,"Action & Adventure, Dramas, International Movies","Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh, Pooja Chopra, Adil Hussain, Kumud Mishra, Naseeruddin Shah, Anupam Kher, Vikram Gokhale, Juhi Babbar",India,2018.0,TV-MA,158 min,5.5/10,Movie
Aiyyaa,"An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage.",Sachin Kundalkar,"Comedies, International Movies, Music & Musicals","Rani Mukerji, Prithviraj Sukumaran, Nirmiti Sawant, Subodh Bhave, Jyoti Subhash, Satish Alekar, Anita Date, Amey Wagh, Kishori Balal, Pakoda Pandi",India,2012.0,TV-14,151 min,4.2/10,Movie
Ajji,"When her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge.",Devashish Makhija,"Dramas, International Movies","Sushama Deshpande, Abhishek Banerjee, Smita Tambe, Sharvani Suryavanshi, Vikas Kumar, Sadiya Siddiqui, Sudhir Pandey, Manuj Sharma",India,2017.0,TV-MA,105 min,7.0/10,Movie
Amar,"Young Laura and Carlos experience the intensity and fragility of first love, as life realities gradually tarnish their idealized notions of romance.",Esteban Crespo,"Dramas, International Movies, Romantic Movies","María Pedraza, Pol Monen, Natalia Tena, Nacho Fresneda, Greta Fernández, Gustavo Salmerón, Celso Bugallo, Sonia Almarcha, Marta Belenguer",Spain,2017.0,TV-MA,104 min,5.1/10,Movie
Amateur,"After he's recruited to an elite prep school, a 14-year-old basketball phenom is confronted by corruption and greed in amateur sports.",Ryan Koo,"Dramas, Independent Movies, Sports Movies","Michael Rainey Jr., Josh Charles, Brian White, Sharon Leal, Ashlee Brian, Corey Parker Robinson",United States,2018.0,TV-MA,96 min,5.7/10,Movie
Amrapali,"In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves.",Lekh Tandon,"Dramas, International Movies, Music & Musicals","Vyjayantimala, Sunil Dutt, Prem Nath, Bipin Gupta, Gajanan Jagirdar, Zul Vellani, K.N. Singh, Randhir",India,1966.0,TV-PG,116 min,6.5/10,Movie
Anaamika,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye.",Sekhar Kammula,"International Movies, Thrillers","Nayantara, Vaibhav Reddy, Pasupathy, Harshvardhan Rane, Thagubothu Ramesh, Vinay Varma, Dheer Charan Srivastav, D. Narsingh Rao",India,2014.0,TV-14,130 min,5.7/10,Movie
Andhadhun,A visually impaired pianist’s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star.,Sriram Raghavan,"Comedies, Dramas, International Movies","Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan, Manav Vij, Zakir Hussain, Ashwini Kalsekar, Chhaya Kadam, Pawan Singh, Kabir Sajid",India,2018.0,TV-14,137 min,8.3/10,Movie
Andhakaaram,"As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences.",V Vignarajan,"Horror Movies, International Movies, Thrillers","Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath",India,2020.0,TV-14,171 min,7.9/10,Movie
ANIMA,"In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud.",Paul Thomas Anderson,"Dramas, Independent Movies, Music & Musicals",Thom Yorke,United Kingdom,2019.0,TV-PG,15 min,7.6/10,Movie
Animas,A teen's eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed.,"Laura Alvea, José Ortuño","Horror Movies, International Movies","Clare Durant, Iván Pellicer, Luis Bermejo, Liz Lobato, Chacha Huang, Ángela Molina","Spain, Belgium",2018.0,TV-MA,88 min,5.0/10,Movie
Anjaan,"Mild-mannered Krishna comes to Mumbai to search for his gang-leader brother, and quickly finds himself in way over his head.",N. Linguswamy,"Action & Adventure, Dramas, International Movies","Suriya, Samantha Ruth Prabhu, Vidyut Jammwal, Manoj Bajpayee, Soori",India,2014.0,TV-14,146 min,5.0/10,Movie
Anon,"In a future where technology has rendered privacy obsolete, a detective investigates a serial assassin who has been deleted from all visual records.",Andrew Niccol,"Dramas, Sci-Fi & Fantasy, Thrillers","Clive Owen, Amanda Seyfried, Colm Feore, Sonya Walger, Mark O'Brien, Joe Pingue, Iddo Goldberg, Sebastian Pigott, Rachel Roberts, Ethan Tavares","United Kingdom, Canada, United States, Germany",2018.0,TV-MA,100 min,5.9/10,Movie
Apaharan,"Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping.",Prakash Jha,"Dramas, International Movies","Ajay Devgn, Nana Patekar, Bipasha Basu, Ayub Khan, Mohan Agashe, Mukesh Tiwari, Yashpal Sharma, Anoop Soni, Chetan Pandit",India,2005.0,TV-14,161 min,7.3/10,Movie
Apostle,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",Gareth Evans,"Horror Movies, International Movies, Thrillers","Dan Stevens, Lucy Boynton, Michael Sheen, Mark Lewis Jones, Bill Milner, Kristine Froseth, Paul Higgins, Richard Elfyn, Elen Rhys, Ross O'Hennessy","United Kingdom, United States",2018.0,TV-MA,130 min,6.1/10,Movie
ARQ,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.",Tony Elliott,"International Movies, Sci-Fi & Fantasy, Thrillers","Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Jacob Neayem, Adam Butcher, Tantoo Cardinal","Canada, United States",2016.0,TV-MA,89 min,6.5/10,Movie
Arrow,"Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows.",James Bamford,"Crime TV Shows, TV Action & Adventure","Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett",United States,2019.0,TV-14,8 Seasons,7.6/10,TV Show
Asees,"When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land.",Rana Ranbir,"Dramas, International Movies, Music & Musicals","Rana Ranbir, Neha Pawar, Kuljinder Sidhu, Rupinder Roopi, Sardar Sohi, Pardeep Sran, Seema Kaushal, Rajvir Boparai",India,2018.0,TV-14,123 min,7.3/10,Movie
Asmaa,"Constantly denied medical treatment, an HIV positive woman confronts societal stigma with unexpected courage. Inspired by true events.",Amr Salama,"Dramas, International Movies","Hend Sabry, Maged El-Kidwani, Hany Adel, Sayed Rajab, Ahmed Kamal, Boutros Ghaly, Laila Ezz El Arab, Samia Asaad, Fatmah Adel, Mohamad Yones, Mohamed Abd El Azim",Egypt,2011.0,TV-14,92 min,8.2/10,Movie
Asoka,This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.,Santosh Sivan,"Action & Adventure, Dramas, International Movies","Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Rahul Dev, Hrishitaa Bhatt, Gerson Da Cunha, Subhashini Ali, Umesh Mehra, Sooraj Balaji",India,2001.0,R,168 min,6.4/10,Movie
Atlantics,"Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.",Mati Diop,"Dramas, Independent Movies, International Movies","Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene","France, Senegal, Belgium",2019.0,TV-14,106 min,6.8/10,Movie
ATM,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",Mez Tharatorn,"Comedies, International Movies, Romantic Movies","Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada",2012.0,TV-14,122 min,4.5/10,Movie
Aurora,A fatal shipwreck spurs an islander innkeeper and her sister to recover the missing victims' bodies – until the dead come seeking shelter themselves.,Yam Laranas,"Horror Movies, International Movies","Anne Curtis, Phoebe Villamor, Mercedes Cabral, Allan Paule, Andrea Del Rosario, Marco Gumabao, Arnold Reyes, Ricardo Cepeda, Ruby Ruiz, Sue Prado",Philippines,2018.0,TV-14,98 min,4.4/10,Movie
Aurora,"42-year-old Viorel, a distraught engineer, takes drastic measures to end his emotional suffering after enduring a devastating divorce.",Cristi Puiu,"Dramas, International Movies","Cristi Puiu, Clara Voda, Catrinel Dumitrescu, Luminita Gheorghiu, Valentin Popescu, Gheorghe Ifrim, Ileana Puiu, Valeria Seciu, Gelu Colceag","Romania, France, Switzerland, Germany",2010.0,TV-MA,186 min,6.6/10,Movie
Autohead,A production crew that thinks it's making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their film's subject.,Rohit Mittal,"Dramas, International Movies, Thrillers","Deepak Sampat, Ronjini Chakroborty, Vikrant Singh, Jhanvi Dwivedi, Ajay Mishra, Rohit Mittal, Sunny Banerjee, Ravidev Singh",India,2016.0,TV-MA,97 min,5.8/10,Movie
Ava,An elite assassin wrestling with doubts about her work scrambles to protect herself — and her estranged family — after a hit goes dangerously wrong.,Tate Taylor,"Action & Adventure, Dramas","Jessica Chastain, Colin Farrell, John Malkovich, Common, Geena Davis, Jess Weixler, Diana Silvers, Joan Chen, Ioan Gruffudd",United States,2020.0,R,97 min,5.5/10,Movie
Avengement,"Betrayed by his loan shark brother, a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer.",Jesse V. Johnson,Action & Adventure,"Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran, Kierston Wareing, Mark Strange, Leo Gregory, Luke LaFontaine, Beau Fowler, Dan Styles",United Kingdom,2019.0,TV-MA,88 min,6.8/10,Movie
Awake,"After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women.","Aleksandr Chernyaev, Fedor Lyass",Thrillers,"Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr",United States,2019.0,TV-MA,92 min,5.1/10,Movie
Awake,"After a global event wipes out humanity's ability to sleep, a troubled ex-soldier fights to save her family as society and her mind spiral into chaos.",Mark Raso,"Dramas, Thrillers","Gina Rodriguez, Ariana Greenblatt, Frances Fisher, Jennifer Jason Leigh, Barry Pepper, Shamier Anderson, Finn Jones, Lucius Hoyos, Gil Bellows",United States,2021.0,TV-MA,97 min,4.7/10,Movie
Awe,"Disparate characters, including an aspiring time traveler, a phony chef, a drug-addicted waitress and several others, share a surprising connection.",Prasanth Varma,"Dramas, International Movies, Sci-Fi & Fantasy","Kajal Aggarwal, Nithya Menon, Regina Cassandra, Eesha Rebba, Murli Sharma, Srinivas Avasarala, Priyadarshi Pullikonda",India,2018.0,TV-MA,111 min,7.7/10,Movie
Axone,"In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.",Nicholas Kharkongor,"Comedies, Dramas, Independent Movies","Sayani Gupta, Lin Laishram, Tenzing Dalha, Dolly Ahluwalia, Vinay Pathak, Lanuakam Ao, Rohan Joshi, Adil Hussain, Asenla Jamir",India,2020.0,TV-MA,101 min,6.9/10,Movie
Ayana,"With his carefree bachelor days behind him, a young entrepreneur’s ambitions for adulthood come with some painful personal and professional decisions.",Gangadhar Salimath,"Dramas, Independent Movies, International Movies","Deepak Subramanya, Apoorva Soma, Ramesh Bhat, Harsha H S, Karthik A, Goutham Shashidhar, Nagshree Karkone, Moksha Kushal, Vedashree Rao",India,2017.0,TV-MA,112 min,7.6/10,Movie
Azali,"Sent away to evade an arranged marriage, a 14-year-old begins a harrowing journey of sex work and poverty in the slums of Accra.",Kwabena Gyansah,"Dramas, International Movies","Ama K. Abebrese, Asana Alhassan, Adjetey Anang, Akofa Edjeani Asiedu, Emmanuel Nii Adom Quaye, Peter Ritchie",Ghana,2018.0,TV-14,89 min,5.4/10,Movie
Aziza,"This short film follows a newly displaced Syrian couple's drive around Beirut, which then morphs into a hallucinatory and nostalgic trip.",Soudade Kaadan,"Comedies, Dramas, Independent Movies","Caress Bashar, Abdel Moneim Amayri","Lebanon, Syria",2019.0,TV-PG,13 min,7.3/10,Movie
Baadshaho,"In 1975, during the government-declared Emergency, thief Bhawani and his crew plan a daring robbery to reclaim his royal lover's seized treasures.",Milan Luthria,"Action & Adventure, International Movies","Ajay Devgn, Emraan Hashmi, Vidyut Jamwal, Ileana D'Cruz, Esha Gupta, Sanjay Mishra, Sunny Leone, Sharad Kelkar, Priyanshu Chatterjee, Denzil Smith",India,2017.0,TV-14,135 min,5.0/10,Movie
Baaghi,A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival.,Sabir Khan,"Action & Adventure, International Movies","Tiger Shroff, Shraddha Kapoor, Sudheer Babu, Paras Arora, Sunil Grover, Sourav Chakraborty, Shaurya Bhardawaj",India,2016.0,TV-14,127 min,5.3/10,Movie
Baazaar,"A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon.",Gauravv K Chawla,"Dramas, International Movies","Saif Ali Khan, Chitrangada Singh, Radhika Apte, Rohan Vinod Mehra, Manish Chaudhary, Denzil Smith, Pawan Chopra, Deepak Gheewala, Utkarsh Mazumdar, Danish Hussain",India,2018.0,TV-MA,136 min,6.7/10,Movie
Badla,"When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes.",Sujoy Ghosh,"International Movies, Thrillers","Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Tony Luke, Manav Kaul",India,2019.0,TV-14,117 min,7.9/10,Movie
Badland,A detective with a license to kill roams the Old West to wrangle Confederate war criminals and meets a pioneer woman who throws his journey off track.,Justin Lee,Dramas,"Kevin Makely, Bruce Dern, Mira Sorvino, Trace Adkins, Wes Studi, Tony Todd, Jeff Fahey, James Russo, Amanda Wyss",United States,2019.0,TV-14,117 min,5.4/10,Movie
Bandie,"Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her.",Alo Sarkar,"Action & Adventure, Dramas, International Movies","Uttam Kumar, Sulakshana Pandit, Utpal Dutt, Bindu, Amjad Khan, Helen, Indrani Mukherjee, Padma Khanna, Iftekhar",India,1978.0,TV-PG,141 min,4.4/10,Movie
Bangistan,"Sent on the same deadly international mission by their rival religious factions, two men's madcap antics along the way take them hilariously off course.",Karan Anshuman,"Comedies, Dramas, International Movies","Riteish Deshmukh, Pulkit Samrat, Kumud Mishra, Chandan Roy Sanyal, Arya Babbar, Shivkumar Subramaniam, Tom Alter, Jacqueline Fernandez",India,2015.0,TV-14,134 min,4.6/10,Movie
Barry,"A young Barack Obama forges his identity while dealing with race, divergent cultures and ordinary life as a New York City college student.",Vikram Gandhi,Dramas,"Devon Terrell, Anya Taylor-Joy, Jason Mitchell, Ashley Judd, Jenna Elfman, Ellar Coltrane, Avi Nash, Linus Roache, John Benjamin Hickey",United States,2016.0,TV-MA,105 min,5.6/10,Movie
Battle,"After Amalie's dad goes bankrupt, the young dancer's affluent life collapses. But she finds a new beat to follow after meeting hip-hop dancer Mikael.",Katarina Launing,"Dramas, International Movies, Romantic Movies","Lisa Teige, Fabian Svegaard Tapia, Vebjørn Enger, Charlott Madeleine Utzig, Stig R. Amdam, Karen-Lise Mynster","Norway, Denmark, Netherlands, Sweden",2018.0,TV-MA,98 min,5.9/10,Movie
Bayonet,"Alone in Finland, a retired Mexican boxer lives in desolation under the weight of an agonizing past, until he gets a shot at redemption in the ring.",Kyzza Terrazas,"Dramas, International Movies, Sports Movies","Luis Gerardo Méndez, Brontis Jodorowsky, Joonas Saartamo, Laura Birn, Ilkka Koivula, Ville Virtanen, Raúl Villegas, Miriam Balderas, Ximena Guzmán","Mexico, Finland",2019.0,TV-MA,102 min,5.9/10,Movie
Beats,"On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor.",Chris Robinson,"Dramas, Independent Movies, Music & Musicals","Khalil Everage, Anthony Anderson, Uzo Aduba, Emayatzy Corinealdi, Paul Walter Hauser, Dave East, Seandrea Sledge, Ashley Jackson, Megan Sousa",United States,2019.0,TV-MA,110 min,6.2/10,Movie
Becoming,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming.""",Nadia Hallgren,Documentaries,Michelle Obama,United States,2020.0,PG,89 min,7.0/10,Movie
Belgica,"Two brothers become partners in a modest nightclub and turn it into the hottest spot in town, but their exhilarating run of success comes at a price.","Felix Van Groeningen, Felix van Groeningen","Dramas, International Movies","Stef Aerts, Tom Vermeir, Charlotte Vandermeersch, Hélène Devos, Boris Van Severen, Sara De Bosschere, Dominique Van Malder, Sam Louwyck, Stefaan De Winter, Silvanus Saow","Belgium, France, Netherlands",2016.0,TV-MA,127 min,6.5/10,Movie
Belmonte,An artist muddles through a midlife crisis while trying to balance his dimming career with a yearning to be a better father.,Federico Veiroj,"Dramas, Independent Movies, International Movies","Gonzalo Delgado, Olivia Molinaro Eijo, Jeannette Sauksteliskis, Tomás Wahrmann, María Noel Gutiérrez, Marcelo Fernández Borsari, Alejandro Castiglioni, Cecilia Caballero Jeske, Martín Reyes, Carolina Penadés","Uruguay, Spain, Mexico",2018.0,TV-MA,74 min,6.3/10,Movie
Benji,A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.,Brandon Camp,"Children & Family Movies, Dramas","Gabriel Bateman, Darby Camp, Kiele Sanchez, Jerod Haynes, Gralen Bryant Banks, Angus Sampson, Will Rothhaar, Jim Gleason, Brady Permenter","United Arab Emirates, United States",2018.0,TV-PG,87 min,6.5/10,Movie
Beynelmilel,"When a local musician and his band are forced to perform in honor of a right-wing coup, his daughter schemes to make their music subversive instead.","Muharrem Gülmez, Sırrı Süreyya Önder","Comedies, Dramas, International Movies","Cezmi Baskın, Özgü Namal, Umut Kurt, Nazmi Kırık, Bahri Beyat, Meral Okay, Dilber Ay, Şahin Irmak, Oktay Kaynarca, Burak Tamdoğan",Turkey,2006.0,TV-MA,102 min,7.1/10,Movie
Bhasmasur,"In this heart-wrenching coming-of-age story, a young boy embarks on an arduous trek with his debt-ridden father to sell their beloved family donkey.",Nishil Sheth,"Dramas, Independent Movies, International Movies","Imran Rasheed, Mittal Chouhan, Trimala Adhikari, Bhushan Vikas, Ravi Goswami, Raghav Dutt, Kumkum Chouhan, Rohan Mobarsa",India,2017.0,TV-14,74 min,6.9/10,Movie
Bheeshma,"Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace.",Venky Kudumula,"Action & Adventure, Comedies, International Movies","Nitin Reddy, Rashmika Mandanna, Sampath Raj, Jishu Sengupta, Anant Nag",India,2020.0,TV-14,138 min,6.5/10,Movie
Billu,"An Indian village is abuzz with news that a major movie star is coming to town – even more so because the town barber went to school with him. But as the day of the actor's visit approaches, the humble barber begins to worry he won't be recognized.",Priyadarshan,"Dramas, International Movies","Irrfan Khan, Shah Rukh Khan, Lara Dutta, Rajpal Yadav, Om Puri, Asrani, Manoj Joshi",India,2009.0,TV-PG,132 min,6.4/10,Movie
Birdshot,"A sheltered farm girl inadvertently shoots an endangered Philippine eagle, setting off a police investigation that exposes violence and corruption.",Mikhail Red,"Dramas, International Movies, Thrillers","Mary Joy Apostol, Arnold Reyes, Ku Aquino, John Arcilla, Dido Dela Paz, Elora Espano, Ronnie Quizon, Rolando T. Inocencio, Suzette Ranillo, Angelica C. Ferro","Philippines, Qatar",2016.0,TV-MA,115 min,6.5/10,Movie
Bittersweet,"After 20 years abroad, a photographer returns to his birth country of Egypt and gets stranded without identification in a now unfamiliar culture.",Khaled Marei,"Comedies, Dramas, International Movies","Ahmed Helmy, Lotfy Labib, Edward, Enaam Salousa",Egypt,2010.0,TV-MA,132 min,7.9/10,Movie
Black,"A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime.",Raja Chanda,"Action & Adventure, International Movies","Soham Chakraborty, Bidya Sinha Mim, Ashish Vidyarthi, Rajatabha Dutta, Rudranil Ghosh, Kharaj Mukherjee",India,2015.0,TV-14,137 min,4.1/10,Movie
Blaze,"An influential, if unsung country songwriter reflects on his career, and how the love of his life drove him to write his most personal music.",Ethan Hawke,"Dramas, Independent Movies, Music & Musicals","Benjamin Dickey, Alia Shawkat, Josh Hamilton, Charlie Sexton, Sam Rockwell, Wyatt Russell, Steve Zahn, Kris Kristofferson, Richard Linklater, David Kallaway, Ritchie Montgomery",United States,2018.0,R,129 min,6.8/10,Movie
Bleach,"When high schooler Ichigo is suddenly given reaper abilities, he really wants to give the powers back. But he'll have to reap some souls first.",Shinsuke Sato,"Action & Adventure, International Movies, Sci-Fi & Fantasy","Sota Fukushi, Hana Sugisaki, Ryo Yoshizawa, Erina Mano, Yu Koyanagi, Seiichi Tanabe, Taichi Saotome, Miyavi, Masami Nagasawa, Yosuke Eguchi",Japan,2018.0,TV-14,109 min,6.2/10,Movie
